maintenance_requests	hotel_id	hotels	id
maintenance_requests	room_id	rooms	id
maintenance_requests	tenant_id	tenants	id
maintenance_requests	reported_by	users	id
maintenance_requests	item_id	items	id
marketing_campaigns	created_by	users	id
marketing_campaigns	promotional_code_id	promotional_codes	id
notification_preferences	tenant_id	tenants	id
notification_preferences	user_id	users	id
notifications	user_id	users	id
notifications	tenant_id	tenants	id
payment_methods	tenant_id	tenants	id
payment_transactions	invoice_id	invoices	id
payment_transactions	tenant_id	tenants	id
payment_transactions	plan_id	subscription_plans	id
pending_group_links	hotel_id	hotels	id
pending_group_links	tenant_id	tenants	id
plan_price_history	changed_by	users	id
plan_price_history	plan_id	subscription_plans	id
platform_settings	updated_by	auth.users	id
positions	tenant_id	tenants	id
promo_code_usage	tenant_id	tenants	id
promo_code_usage	promo_code_id	promotional_codes	id
promo_code_usage	payment_transaction_id	payment_transactions	id
promotional_codes	created_by	users	id
purchase_order_items	po_id	purchase_orders	id
purchase_order_items	item_id	items	id
purchase_orders	vendor_id	vendors	id
purchase_orders	approved_by	users	id
purchase_orders	requested_by	users	id
purchase_orders	tenant_id	tenants	id
purchase_orders	hotel_id	hotels	id
push_subscriptions	user_id	users	id
push_subscriptions	tenant_id	tenants	id
qc_reviews	reviewer_id	users	id
qc_reviews	task_id	housekeeping_tasks	id
qc_reviews	room_check_id	room_checks	id
qc_sla_settings	tenant_id	tenants	id
qc_sla_settings	hotel_id	hotels	id
renewal_reminders	tenant_id	tenants	id
reorder_suggestions	converted_po_id	purchase_orders	id
reorder_suggestions	item_id	items	id
role_permissions	permission_id	permissions	id
role_permissions	granted_by	users	id
role_permissions	role_id	roles	id
roles	tenant_id	tenants	id
room_bookings	created_by	users	id
room_bookings	guest_id	guests	id
room_bookings	hotel_id	hotels	id
room_bookings	room_id	rooms	id
room_bookings	skipper_marked_by	users	id
room_bookings	tenant_id	tenants	id
room_check_issue_outbox	issue_id	room_check_issues	id
room_check_issue_reviews	reviewer_id	auth.users	id
room_check_issue_reviews	issue_id	room_check_issues	id
room_check_issues	reviewed_by	auth.users	id
room_check_issues	source_issue_id	room_check_issues	id
room_check_issues	room_check_id	room_checks	id
room_check_sessions	user_id	auth.users	id
room_check_sessions	room_id	rooms	id
room_check_sessions	tenant_id	tenants	id
room_checks	reviewed_by	users	id
room_checks	room_id	rooms	id
room_checks	checked_by	users	id
room_checks	task_id	housekeeping_tasks	id
room_items	last_checked_by	users	id
room_items	room_id	rooms	id
room_items	item_id	items	id
room_items	verified_by	auth.users	id
room_pricing_rules	hotel_id	hotels	id
room_pricing_rules	tenant_id	tenants	id
room_type_standards	tenant_id	tenants	id
room_type_standards	hotel_id	hotels	id
room_type_standards	item_id	items	id
room_types	hotel_id	hotels	id
room_types	tenant_id	tenants	id
rooms	tenant_id	tenants	id
rooms	last_status_changed_by	users	id
rooms	hotel_id	hotels	id
shift_history	hotel_id	hotels	id
shift_history	tenant_id	tenants	id
shift_history	user_id	users	id
shift_reminders	tenant_id	tenants	id
shift_reminders	user_id	users	id
staff_statistics	hotel_id	hotels	id
staff_statistics	user_id	users	id
staff_status	user_id	users	id
staff_status	tenant_id	tenants	id
stock_adjustment_items	checked_by	users	id
stock_adjustment_items	item_id	items	id
stock_adjustment_items	responsible_person_id	users	id
stock_adjustment_items	adjustment_id	stock_adjustments	id
stock_adjustment_items	approved_by	users	id
stock_adjustments	approved_by	users	id
stock_adjustments	tenant_id	tenants	id
stock_adjustments	hotel_id	hotels	id
stock_adjustments	created_by	users	id
super_admin_activity_log	admin_user_id	users	id
supplement_requests	tenant_id	tenants	id
supplement_requests	requested_by	users	id
supplement_requests	approved_by	users	id
supplement_requests	transaction_id	inventory_transactions	id
supplement_requests	hotel_id	hotels	id
supplement_requests	room_id	rooms	id
supplement_requests	room_check_id	room_checks	id
supplement_requests	distribution_order_id	distribution_orders	id
telegram_connections	tenant_id	tenants	id
telegram_connections	user_id	users	id
telegram_groups	added_by	users	id
telegram_groups	hotel_id	hotels	id
telegram_groups	tenant_id	tenants	id
tenant_usage	tenant_id	tenants	id
tenants	subscription_plan_id	subscription_plans	id
tenants	approved_by	users	id
user_hotels	hotel_id	hotels	id
user_hotels	user_id	users	id
user_hotels	assigned_by	users	id
user_permissions	user_id	users	id
user_permissions	created_by	users	id
user_permissions	tenant_id	tenants	id
user_preferences	current_hotel_id	hotels	id
user_preferences	user_id	users	id
user_roles	user_id	auth.users	id
user_roles	created_by	auth.users	id
users	user_level_code	user_levels	code
users	id	auth.users	id
users	reports_to	users	id
users	tenant_id	tenants	id
users	hotel_id	hotels	id
users	position_id	positions	id
users	deactivated_by	users	id
users	created_by	users	id
vendors	created_by	auth.users	id
vendors	tenant_id	tenants	id
warehouse_stock	warehouse_id	warehouses	id
warehouse_stock	tenant_id	tenants	id
warehouse_stock	item_id	items	id
warehouses	tenant_id	tenants	id
warehouses	hotel_id	hotels	id
workflow_actions	workflow_id	workflows	id
workflow_executions	workflow_id	workflows	id
workflows	tenant_id	tenants	id
workflows	created_by	auth.users	id
