laundry_batches	trg_enforce_read_only	UPDATE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
laundry_batches	trg_enforce_read_only	INSERT	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
laundry_batches	trg_enforce_read_only	DELETE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
laundry_batches	trg_laundry_batch_policy_snapshot	INSERT	BEFORE	EXECUTE FUNCTION trg_laundry_batch_snapshot_policy()
laundry_batches	trg_update_laundry_stats	UPDATE	AFTER	EXECUTE FUNCTION trigger_update_laundry_stats()
laundry_categories	update_laundry_categories_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
laundry_requests	update_laundry_requests_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
laundry_vendors	laundry_vendors_before_insert	INSERT	BEFORE	EXECUTE FUNCTION laundry_vendors_generate_code()
laundry_vendors	laundry_vendors_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
maintenance_categories	update_maintenance_categories_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
maintenance_requests	maintenance_requests_before_insert	INSERT	BEFORE	EXECUTE FUNCTION maintenance_requests_generate_code()
maintenance_requests	maintenance_requests_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
maintenance_requests	trg_enforce_read_only	INSERT	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
maintenance_requests	trg_enforce_read_only	DELETE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
maintenance_requests	trg_enforce_read_only	UPDATE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
maintenance_requests	trg_update_maintenance_stats	UPDATE	AFTER	EXECUTE FUNCTION trigger_update_maintenance_stats()
notification_preferences	update_notification_preferences_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
payment_transactions	trg_enforce_read_only	UPDATE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
payment_transactions	trg_enforce_read_only	INSERT	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
payment_transactions	trg_enforce_read_only	DELETE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
payment_transactions	update_payment_transactions_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
permissions	update_permissions_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
purchase_order_items	purchase_order_items_receive_trigger	UPDATE	AFTER	EXECUTE FUNCTION purchase_order_items_receive()
purchase_order_items	purchase_order_items_update_totals	INSERT	AFTER	EXECUTE FUNCTION update_purchase_order_totals()
purchase_order_items	purchase_order_items_update_totals	UPDATE	AFTER	EXECUTE FUNCTION update_purchase_order_totals()
purchase_order_items	purchase_order_items_update_totals	DELETE	AFTER	EXECUTE FUNCTION update_purchase_order_totals()
purchase_orders	purchase_orders_before_insert	INSERT	BEFORE	EXECUTE FUNCTION purchase_orders_generate_code()
purchase_orders	purchase_orders_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
purchase_orders	trg_enforce_read_only	DELETE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
purchase_orders	trg_enforce_read_only	INSERT	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
purchase_orders	trg_enforce_read_only	UPDATE	BEFORE	EXECUTE FUNCTION enforce_read_only_mutation()
push_subscriptions	update_push_subscriptions_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
qc_reviews	trg_audit_qc_reviews	INSERT	AFTER	EXECUTE FUNCTION fn_write_audit_log()
qc_sla_settings	trg_qc_sla_updated_at	UPDATE	BEFORE	EXECUTE FUNCTION update_updated_at_column()
